,tname,specie,lenght,er,param,cov,model,mapped,unmapped,wrongalign,r0,r5,r10,r20,TP,FN,FP,precison,recall,f1score,bc_TP,bc_FN,bc_FP,bc_precison,bc_recall,bc_f1score
51,bwamem,covid,6000,0.95,#.vcf,10,r103,48,0,0,12,5,6,18,34,293,108,0.23943661971830985,0.10397553516819572,0.14498933901918976,48,279,11,0.8135593220338984,0.14678899082568808,0.24870466321243526
52,bwamem,covid,6000,0.95,-k#7#-W#10.vcf,10,r103,48,0,0,12,5,6,18,34,293,108,0.23943661971830985,0.10397553516819572,0.14498933901918976,48,279,11,0.8135593220338984,0.14678899082568808,0.24870466321243526
53,bwamem,covid,6000,0.95,-k#5#-w#1.vcf,10,r103,137,0,0,7,1,3,10,38,289,54,0.41304347826086957,0.1162079510703364,0.18138424821002386,48,279,12,0.8,0.14678899082568808,0.24806201550387597
54,syncminimap,covid,500,0.95,#.vcf,10,r103,0,597,0,0,0,0,0,0,327,0,0.0,0.0,0.0,0,327,0,0.0,0.0,0.0
55,syncminimap,covid,500,0.95,-k#7#-w#0#--downsample#1#--s-mer#5#--pos1#3#--pos2#9.vcf,10,r103,597,0,0,156,93,102,177,29,298,15,0.6590909090909091,0.08868501529051988,0.15633423180592992,33,294,20,0.6226415094339622,0.10091743119266056,0.1736842105263158
56,syncminimap,covid,500,0.95,-k#7#-w#0#--downsample#1#--s-mer#5#--pos1#3#--pos2#9.vcf,10,r103,597,0,0,156,93,102,177,29,298,15,0.6590909090909091,0.08868501529051988,0.15633423180592992,33,294,20,0.6226415094339622,0.10091743119266056,0.1736842105263158
57,syncminimap,covid,6000,0.95,#.vcf,10,r103,0,48,0,0,0,0,0,0,327,0,0.0,0.0,0.0,0,327,0,0.0,0.0,0.0
58,syncminimap,covid,6000,0.95,-k#7#-w#0#--downsample#1#--s-mer#5#--pos1#3#--pos2#9.vcf,10,r103,48,0,0,12,4,6,18,34,293,103,0.24817518248175183,0.10397553516819572,0.14655172413793105,48,279,11,0.8135593220338984,0.14678899082568808,0.24870466321243526
59,syncminimap,covid,6000,0.95,-k#7#-w#0#--downsample#1#--s-mer#5#--pos1#3#--pos2#9.vcf,10,r103,48,0,0,12,4,6,18,34,293,103,0.24817518248175183,0.10397553516819572,0.14655172413793105,48,279,11,0.8135593220338984,0.14678899082568808,0.24870466321243526
60,perfect,covid,500,0.95,perfect.vcf,10,r103,597,0,0,597,0,0,0,45,282,19,0.703125,0.13761467889908258,0.23017902813299232,55,272,1,0.9821428571428571,0.16819571865443425,0.28720626631853785
61,perfect,covid,6000,0.95,perfect.vcf,10,r103,48,0,0,48,0,0,0,36,291,121,0.22929936305732485,0.11009174311926606,0.1487603305785124,61,266,1,0.9838709677419355,0.18654434250764526,0.31362467866323906
